layer,row,column,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,cellid,x,y,ICALC,OUTSEG,IUPSEG,IPRIOR,ROUGHCH,SWSID
1,64,38,19,7,401.9,364.604,9.27E-03,2.00E+00,5,11378,6398254.5,1976132.5,1,20,0,0,0.035,10255
1,65,38,19,8,306.8,360.787,9.27E-03,2.00E+00,5,11558,6398425.5,1975662.7,1,20,0,0,0.035,10255
1,65,37,19,9,402.1,357.458,9.27E-03,2.00E+00,5,11557,6397955.6,1975491.6,1,20,0,0,0.035,10255
1,66,37,19,10,508.2,351.295,9.27E-03,2.00E+00,5,11737,6398126.6,1975021.8,1,20,0,0,0.035,10255
1,67,37,19,11,543.7,347.032,9.27E-03,2.00E+00,5,11917,6398297.6,1974552,1,20,0,0,0.035,10255
1,68,37,19,12,91.1,344.207,9.27E-03,2.00E+00,5,12097,6398468.6,1974082.1,1,20,0,0,0.035,10255
1,68,38,19,13,537,342.129,9.27E-03,2.00E+00,5,12098,6398938.5,1974253.1,1,20,0,0,0.035,10255
1,69,38,19,14,289.2,341.247,9.27E-03,2.00E+00,5,12278,6399109.5,1973783.3,1,20,0,0,0.035,10255
1,69,39,19,15,325.2,339.342,9.27E-03,2.00E+00,5,12279,6399579.4,1973954.3,1,20,0,0,0.035,10255
1,70,39,19,16,264,338.619,9.27E-03,2.00E+00,5,12459,6399750.4,1973484.4,1,20,0,0,0.035,10255
1,70,38,19,17,411.9,335.377,9.27E-03,2.00E+00,5,12458,6399280.5,1973313.4,1,20,0,0,0.035,10255
1,71,38,19,18,326.9,334.419,9.27E-03,2.00E+00,5,12638,6399451.5,1972843.6,1,20,0,0,0.035,10255
1,71,37,19,19,339.7,334.264,9.27E-03,2.00E+00,5,12637,6398981.7,1972672.6,1,20,0,0,0.035,10255
1,72,37,19,20,663.6,332.76,9.27E-03,2.00E+00,5,12817,6399152.7,1972202.7,1,20,0,0,0.035,10255
1,73,37,19,21,170.7,331.332,9.27E-03,2.00E+00,5,12997,6399323.7,1971732.9,1,20,0,0,0.035,10255
1,73,38,19,22,472,329.177,9.27E-03,2.00E+00,5,12998,6399793.5,1971903.9,1,20,0,0,0.035,10255
1,74,38,19,23,361.3,328.316,9.27E-03,2.00E+00,5,13178,6399964.6,1971434,1,20,0,0,0.035,10255
1,74,39,19,24,270.5,327.455,9.27E-03,2.00E+00,5,13179,6400434.4,1971605,1,20,0,0,0.035,10255
1,75,39,19,25,695.4,323.349,9.27E-03,2.00E+00,5,13359,6400605.4,1971135.2,1,20,0,0,0.035,10255
1,76,39,19,26,271.3,316.803,9.27E-03,2.00E+00,5,13539,6400776.4,1970665.4,1,20,0,0,0.035,10255
1,76,39,20,1,57,309.064,4.17E-03,2.00E+00,1,13539,6400776.4,1970665.4,1,25,0,0,0.035,10255
1,76,40,20,2,533.3,306.747,4.17E-03,2.00E+00,1,13540,6401246.3,1970836.4,1,25,0,0,0.035,10255
