wellname,time,Simulated,Observed
64272,2011-06-13,32.1802482605,24.8999996185
64272,2011-07-20,31.7466773987,18.8999996185
64272,2011-08-05,31.2933349609,16.2999992371
64272,2011-09-20,30.3329315186,12.1000003815
64272,2011-10-06,30.2778873444,12.5
64272,2011-11-08,30.6978111267,11.1000003815
64272,2011-12-08,30.8481769562,18.7000007629
64272,2012-01-13,30.9200229645,18.5
64272,2012-02-09,31.269777298,21.7999992371
64272,2012-03-06,31.4913463593,22.3999996185
64272,2012-04-18,32.1969146729,29.1000003815
64272,2012-06-06,31.2046985626,20.0
64272,2012-07-12,29.7986011505,13.8999996185
64272,2012-08-08,28.9057312012,10.6999998093
64272,2012-10-10,28.4755725861,7.90000009537
64272,2012-11-08,29.2030658722,10.0
64272,2012-12-11,30.2292900085,19.2000007629
64272,2013-01-08,31.0248317719,25.0
64272,2013-02-07,31.3135204315,28.3999996185
64272,2013-03-12,31.2355155945,26.2000007629
64272,2013-04-11,31.2890987396,25.2999992371
64272,2013-05-08,31.081445694,20.2000007629
64272,2013-06-10,30.1665401459,15.1999998093
64272,2013-07-10,29.1419391632,11.1000003815
64272,2013-08-13,27.9275951385,6.59999990463
64272,2013-09-05,27.5122718811,3.5
64272,2013-10-17,27.9668140411,-1.39999997616
64272,2013-11-20,28.3321895599,8.89999961853
64272,2013-12-19,28.5710201263,3.29999995232
64272,2014-01-13,28.6265888214,13.1000003815
64272,2014-02-04,28.6758651733,12.6000003815
64272,2014-03-12,29.7903499603,23.8999996185
64272,2014-04-08,30.2954826355,25.6000003815
64272,2014-05-06,30.3458194733,22.0
64272,2014-06-04,29.1671333313,16.5
64272,2014-07-02,27.7355194092,13.3000001907
64272,2014-08-05,26.28556633,8.39999961853
64272,2014-09-04,25.5617523193,8.0
64272,2014-10-14,26.1446151733,9.5
64272,2014-11-14,26.7527980804,11.6999998093
64272,2014-12-01,27.1911678314,16.0
64272,2015-01-13,28.7274036407,28.2000007629
64272,2015-02-12,29.2531204224,29.2999992371
64272,2015-03-10,29.5887241364,27.1000003815
64272,2015-04-02,29.2652072906,23.8999996185
64272,2015-05-11,29.3671073914,23.5
64272,2015-06-17,27.7789230347,21.2000007629
64272,2015-07-13,26.6523952484,14.8000001907
64272,2015-08-12,25.5575675964,13.3000001907
64272,2015-09-15,25.1955528259,8.0
64272,2015-10-14,25.3669891357,4.69999980927
64272,2015-11-09,25.726348877,8.69999980927
64272,2015-12-01,26.2942390442,12.8999996185
64272,2016-01-13,27.7071094513,24.7999992371
64272,2016-02-08,28.3621139526,28.1000003815
64272,2016-03-01,28.5194015503,28.2999992371
64272,2016-04-26,29.8690395355,29.0
64272,2016-05-20,29.3368320465,25.6000003815
64272,2016-06-28,27.7186965942,24.2000007629
64272,2016-07-12,27.1107788086,18.7000007629
64272,2016-08-11,26.0705833435,14.5
64272,2016-09-08,25.5328788757,10.8000001907
64272,2016-10-17,26.4432849884,9.5
64272,2016-11-16,27.507566452,17.8999996185
64272,2016-12-22,28.4944133759,25.0
64272,2017-01-26,29.9182624817,34.4000015259
64272,2017-03-13,31.6069469452,33.7999992371
64272,2017-04-25,32.2887916565,33.0
64272,2017-05-12,32.1749153137,25.2000007629
64272,2017-06-08,31.7892475128,25.2000007629
64272,2017-08-22,29.6238460541,14.5
64272,2017-09-25,29.2228946686,12.3000001907
64272,2018-01-25,30.5790119171,22.1000003815
64272,2018-02-16,30.5010719299,20.7999992371
64272,2018-03-07,30.5114345551,23.3999996185
64272,2018-05-25,30.9960193634,24.0
64272,2018-07-13,29.0576686859,15.5
64272,2018-08-24,27.6971817017,9.80000019073
64272,2018-09-21,27.5124435425,7.19999980927
64272,2018-10-10,27.5797233582,10.1999998093
64272,2018-11-07,28.0019302368,8.19999980927
64272,2018-12-19,29.2308559418,-1.10000002384
64272,2019-01-16,29.8306922913,-1.10000002384
64272,2019-02-21,30.9129638672,34.2999992371
64272,2019-03-13,31.4321422577,34.7999992371
64272,2019-05-22,32.2230873108,28.7999992371
64272,2019-06-19,31.4770069122,26.2999992371
64272,2019-07-17,30.4938564301,20.3999996185
64272,2019-08-21,29.3986701965,20.8999996185
64272,2019-09-19,29.1044178009,10.8999996185
BV,2009-03-01,129.284103394,134.118545532
BV,2009-04-01,130.555633545,134.19354248
BV,2009-05-01,130.453552246,132.81854248
BV,2009-06-01,131.148452759,131.813537598
BV,2009-07-01,127.893760681,133.843536377
BV,2009-08-01,125.119758606,132.543548584
BV,2010-02-01,129.131072998,135.043548584
BV,2010-03-01,130.597488403,137.853546143
BV,2010-04-01,131.383804321,138.018539429
BV,2010-05-01,132.085632324,137.393539429
BV,2010-06-01,132.148376465,136.673538208
BV,2010-07-01,130.060546875,134.633544922
BV,2010-08-01,128.140548706,132.726882935
BV,2011-01-01,131.542907715,136.94354248
BV,2011-02-01,131.986633301,137.518539429
BV,2011-03-01,132.785507202,140.953536987
BV,2011-04-01,133.401977539,139.813537598
BV,2011-05-01,133.03477478,137.56854248
BV,2011-06-01,133.14201355,136.913543701
BV,2011-07-01,133.078948975,135.053543091
BV,2011-08-01,130.989990234,132.993545532
BV,2012-04-01,132.941497803,136.813537598
BV,2012-05-01,133.208358765,135.660217285
BV,2012-06-01,131.551528931,133.893539429
BV,2012-07-01,129.431289673,131.918548584
BV,2012-12-01,129.20451355,132.526870728
BV,2013-01-01,131.357711792,137.160217285
BV,2013-02-01,131.759170532,136.493545532
BV,2013-03-01,131.754669189,136.093536377
BV,2013-04-01,131.908126831,134.918548584
BV,2013-05-01,132.112564087,133.233551025
BV,2013-06-01,130.543106079,131.643539429
BV,2014-12-01,122.255104065,131.718536377
BV,2015-01-01,127.127479553,133.31854248
BV,2015-02-01,128.609939575,134.94354248
BV,2015-03-01,130.122039795,135.468536377
BV,2015-04-01,129.790939331,134.133544922
BV,2015-05-01,130.676757812,132.618545532
BV,2015-12-01,121.320281982,131.593536377
BV,2016-02-01,127.965133667,131.533538818
BV,2016-03-01,129.007141113,136.593536377
BV,2016-04-01,130.915115356,136.69354248
BV,2016-05-01,131.053726196,135.718536377
BV,2016-06-01,130.227706909,134.553543091
BV,2016-07-01,127.255081177,132.493545532
BV,2017-01-01,129.097671509,138.118545532
BV,2017-02-01,131.862747192,142.033538818
BV,2017-03-01,133.583053589,138.810211182
BV,2017-04-01,133.4322052,137.560211182
BV,2017-05-01,133.611587524,136.173538208
BV,2017-06-01,132.590194702,135.293548584
BV,2017-07-01,131.065887451,134.393539429
BV,2017-08-01,128.4793396,132.518539429
BV,2018-03-01,130.697143555,131.493545532
BV,2018-05-01,132.272598267,132.893539429
BV,2019-01-01,128.853561401,131.993545532
BV,2019-02-01,130.569351196,135.953536987
BV,2019-03-01,132.310089111,140.753540039
