 sp  tstp    time
139     1  4215.5
139     1  4215.5
139     1  4215.5
139     1  4215.5
139     2  4231.0
139     2  4231.0
139     2  4231.0
139     2  4231.0
140     1  4246.0
140     1  4246.0
140     1  4246.0
140     1  4246.0
140     2  4261.0
140     2  4261.0
140     2  4261.0
140     2  4261.0
141     1  4276.5
141     1  4276.5
141     1  4276.5
141     1  4276.5
141     2  4292.0
141     2  4292.0
141     2  4292.0
141     2  4292.0
142     1  4307.5
142     1  4307.5
142     1  4307.5
142     1  4307.5
142     2  4323.0
142     2  4323.0
142     2  4323.0
142     2  4323.0
143     1  4337.5
143     1  4337.5
143     1  4337.5
143     1  4337.5
143     2  4352.0
143     2  4352.0
143     2  4352.0
143     2  4352.0
144     1  4367.5
144     1  4367.5
144     1  4367.5
144     1  4367.5
144     2  4383.0
144     2  4383.0
144     2  4383.0
144     2  4383.0
145     1  4398.0
145     1  4398.0
145     1  4398.0
145     1  4398.0
145     2  4413.0
145     2  4413.0
145     2  4413.0
145     2  4413.0
146     1  4428.5
146     1  4428.5
146     1  4428.5
146     1  4428.5
146     2  4444.0
146     2  4444.0
146     2  4444.0
146     2  4444.0
147     1  4459.0
147     1  4459.0
147     1  4459.0
147     1  4459.0
147     2  4474.0
147     2  4474.0
147     2  4474.0
147     2  4474.0
148     1  4489.5
148     1  4489.5
148     1  4489.5
148     1  4489.5
148     2  4505.0
148     2  4505.0
148     2  4505.0
148     2  4505.0
149     1  4520.5
149     1  4520.5
149     1  4520.5
149     1  4520.5
149     2  4536.0
149     2  4536.0
149     2  4536.0
149     2  4536.0
150     1  4551.0
150     1  4551.0
150     1  4551.0
150     1  4551.0
150     2  4566.0
150     2  4566.0
150     2  4566.0
150     2  4566.0
151     1  4581.5
151     1  4581.5
151     1  4581.5
151     1  4581.5
151     2  4597.0
151     2  4597.0
151     2  4597.0
151     2  4597.0
152     1  4612.0
152     1  4612.0
152     1  4612.0
152     1  4612.0
152     2  4627.0
152     2  4627.0
152     2  4627.0
152     2  4627.0
153     1  4642.5
153     1  4642.5
153     1  4642.5
153     1  4642.5
153     2  4658.0
153     2  4658.0
153     2  4658.0
153     2  4658.0
154     1  4673.5
154     1  4673.5
154     1  4673.5
154     1  4673.5
154     2  4689.0
154     2  4689.0
154     2  4689.0
154     2  4689.0
155     1  4703.0
155     1  4703.0
155     1  4703.0
155     1  4703.0
155     2  4717.0
155     2  4717.0
155     2  4717.0
155     2  4717.0
156     1  4732.5
156     1  4732.5
156     1  4732.5
156     1  4732.5
156     2  4748.0
156     2  4748.0
156     2  4748.0
156     2  4748.0
157     1  4763.0
157     1  4763.0
157     1  4763.0
157     1  4763.0
157     2  4778.0
157     2  4778.0
157     2  4778.0
157     2  4778.0
158     1  4793.5
158     1  4793.5
158     1  4793.5
158     1  4793.5
158     2  4809.0
158     2  4809.0
158     2  4809.0
158     2  4809.0
159     1  4824.0
159     1  4824.0
159     1  4824.0
159     1  4824.0
159     2  4839.0
159     2  4839.0
159     2  4839.0
159     2  4839.0
160     1  4854.5
160     1  4854.5
160     1  4854.5
160     1  4854.5
160     2  4870.0
160     2  4870.0
160     2  4870.0
160     2  4870.0
161     1  4885.5
161     1  4885.5
161     1  4885.5
161     1  4885.5
161     2  4901.0
161     2  4901.0
161     2  4901.0
161     2  4901.0
162     1  4916.0
162     1  4916.0
162     1  4916.0
162     1  4916.0
162     2  4931.0
162     2  4931.0
162     2  4931.0
162     2  4931.0
163     1  4946.5
163     1  4946.5
163     1  4946.5
163     1  4946.5
163     2  4962.0
163     2  4962.0
163     2  4962.0
163     2  4962.0
164     1  4977.0
164     1  4977.0
164     1  4977.0
164     1  4977.0
164     2  4992.0
164     2  4992.0
164     2  4992.0
164     2  4992.0
165     1  5007.5
165     1  5007.5
165     1  5007.5
165     1  5007.5
165     2  5023.0
165     2  5023.0
165     2  5023.0
165     2  5023.0
166     1  5038.5
166     1  5038.5
166     1  5038.5
166     1  5038.5
166     2  5054.0
166     2  5054.0
166     2  5054.0
166     2  5054.0
167     1  5068.0
167     1  5068.0
167     1  5068.0
167     1  5068.0
167     2  5082.0
167     2  5082.0
167     2  5082.0
167     2  5082.0
168     1  5097.5
168     1  5097.5
168     1  5097.5
168     1  5097.5
168     2  5113.0
168     2  5113.0
168     2  5113.0
168     2  5113.0
169     1  5128.0
169     1  5128.0
169     1  5128.0
169     1  5128.0
169     2  5143.0
169     2  5143.0
169     2  5143.0
169     2  5143.0
170     1  5158.5
170     1  5158.5
170     1  5158.5
170     1  5158.5
170     2  5174.0
170     2  5174.0
170     2  5174.0
170     2  5174.0
171     1  5189.0
171     1  5189.0
171     1  5189.0
171     1  5189.0
171     2  5204.0
171     2  5204.0
171     2  5204.0
171     2  5204.0
172     1  5219.5
172     1  5219.5
172     1  5219.5
172     1  5219.5
172     2  5235.0
172     2  5235.0
172     2  5235.0
172     2  5235.0
173     1  5250.5
173     1  5250.5
173     1  5250.5
173     1  5250.5
173     2  5266.0
173     2  5266.0
173     2  5266.0
173     2  5266.0
174     1  5281.0
174     1  5281.0
174     1  5281.0
174     1  5281.0
174     2  5296.0
174     2  5296.0
174     2  5296.0
174     2  5296.0
175     1  5311.5
175     1  5311.5
175     1  5311.5
175     1  5311.5
175     2  5327.0
175     2  5327.0
175     2  5327.0
175     2  5327.0
176     1  5342.0
176     1  5342.0
176     1  5342.0
176     1  5342.0
176     2  5357.0
176     2  5357.0
176     2  5357.0
176     2  5357.0
177     1  5372.5
177     1  5372.5
177     1  5372.5
177     1  5372.5
177     2  5388.0
177     2  5388.0
177     2  5388.0
177     2  5388.0
178     1  5403.5
178     1  5403.5
178     1  5403.5
178     1  5403.5
178     2  5419.0
178     2  5419.0
178     2  5419.0
178     2  5419.0
179     1  5433.0
179     1  5433.0
179     1  5433.0
179     1  5433.0
